,Italiano,English
0,e,And
1,non,Not
2,che,That
3,di,Of
4,la,there
5,il,The
6,un,a
7,a,to
8,per,For
9,è,And
10,in,in
11,una,a
12,mi,me
13,sono,I am
14,ho,I have
15,l',L'
16,si,Yes
17,ha,has
18,ma,but
19,lo,the
20,cosa,What
21,con,with
22,no,no
23,le,the
24,ti,you
25,se,self
26,da,from
27,i,the
28,come,as
29,io,I
30,ci,There
31,hai,you have
32,questo,This
33,bene,Well
34,qui,here
35,sei,six
36,del,of the
37,tu,you
38,solo,Alone
39,mio,my
40,al,to the
41,me,myself
42,tutto,All
43,c',there
44,te,you
45,era,era
46,della,from the
47,mia,my
48,fatto,Done
49,fare,Do
50,essere,to be
51,so,I know
52,quando,when
53,sì,Yes
54,ora,Now
55,lei,she
56,gli,The
57,ne,neither
58,oh,Oh
59,questa,this
60,detto,said
61,ok,ok
62,va,it goes
63,perche,Why
64,quello,that
65,mai,never
66,alla,at the
67,o,or
68,anche,Also
69,stato,state
70,abbiamo,we have
71,tutti,everyone
72,dei,of the
73,grazie,Thank you
74,chi,who
75,sta,is
76,molto,Very
77,più,more
78,voglio,I want
79,perché,Why
80,tuo,your
81,beh,Well
82,sia,is
83,nel,In the
84,lui,he
85,allora,At that time
86,posso,I can
87,piu,more
88,ehi,Hey
89,prima,Before
90,tua,your
91,suo,his
92,niente,Nothing
93,qualcosa,something
94,sai,you know
95,siamo,we are
96,un',a
97,cosi,Like this
98,davvero,Really
99,ancora,Still
100,hanno,they have
101,stai,you are
102,fa,does
103,sua,her
104,così,Like this
105,casa,home
106,uno,one
107,dove,Where
108,su,on
109,vero,True
110,vuoi,you want
111,noi,we
112,due,two
113,quindi,Therefore
114,dire,to say
115,d',d '
116,delle,from the
117,quella,that
118,sempre,Always
119,altro,other
120,sto,this
121,andare,go
122,ad,to
123,po,bit
124,loro,They
125,devo,I have to
126,quel,that
127,forse,Perhaps
128,li,there
129,proprio,own
130,certo,Certain
131,tempo,time
132,nella,in the
133,poi,Then
134,vi,you
135,credo,I believe
136,vita,life
137,cose,things
138,sul,on the
139,quanto,How much
140,puoi,you can
141,fuori,out
142,anni,years
143,cui,which
144,andiamo,let's go
145,dell',of
146,parte,part
147,visto,view
148,qualcuno,someone
149,all',at
150,lavoro,Work
151,voi,you
152,ciao,HI
153,dio,God
154,volta,time
155,dopo,After
156,adesso,Now
157,stata,was
158,uomo,man
159,padre,father
160,devi,you have to
161,bisogno,need
162,gia,Already
163,amico,Friend
164,ed,and
165,posto,place
166,nessuno,Nobody
167,via,Street
168,cos',so
169,fai,you do
170,signore,Gentleman
171,meglio,Better
172,cazzo,fuck
173,dai,come on
174,dal,from the
175,vuole,wants
176,sembra,it seems
177,giorno,day
178,ogni,Everything is fine
179,modo,way
180,senza,without
181,vedere,see
182,dobbiamo,we have to
183,signor,Mr
184,qualche,some
185,dispiace,sorry
186,penso,I think
187,ecco,Here you are
188,parlare,speak
189,tra,Between
190,mamma,mom
191,già,Already
192,sarebbe,would be
193,dalla,from the
194,troppo,too
195,fosse,is
196,possiamo,we can
197,ce,there is
198,nuovo,new
199,male,bad
200,madre,mother
201,avete,you have
202,tanto,much
203,favore,favor
204,successo,success
205,vai,Go
206,sulla,on the
207,giusto,Right
208,sa,know
209,miei,my
210,aspetta,Wait
211,avere,have
212,altra,other
213,farlo,to do it
214,alle,to
215,facendo,doing
216,abbia,have
217,momento,moment
218,ero,I was
219,ragazzi,Boys
220,deve,needs to
221,persone,people
222,nostro,our
223,tipo,guy
224,prego,Please
225,grande,great
226,può,can
227,senti,feel
228,appena,as soon as
229,potrebbe,could be
230,soldi,money
231,dice,He says
232,sapere,know
233,tre,Three
234,oggi,Today
235,questi,these
236,piace,pleases
237,idea,idea
238,siete,you are
239,ai,to the
240,avevo,I had
241,figlio,son
242,accordo,agreement
243,gente,people
244,sicuro,Safe
245,vieni,You come
246,degli,of the
247,guarda,Look
248,dentro,inside
249,trovato,found
250,queste,these
251,caso,case
252,forza,Force
253,dov',where to
254,tutte,all
255,pensi,think
256,signora,Lady
257,faccio,I do
258,nome,first name
259,avuto,had
260,problema,problem
261,altri,others
262,puo,can
263,aver,have
264,mondo,world
265,tutta,all
266,preso,taken 
267,nulla,Nothing
268,nostra,our
269,donna,woman
270,stare,to stay
271,basta,Enough
272,insieme,Together
273,faccia,face
274,ragazza,lass
275,subito,right away
276,famiglia,family
277,ragazzo,lad
278,volevo,I wanted
279,okay,okay
280,sentito,sense
281,ah,Ah
282,stesso,same
283,ragione,reason
284,sarà,will be
285,tuoi,your
286,capito,Understood
287,notte,Night
288,volte,times
289,testa,head
290,serve,serve
291,tesoro,treasure
292,sotto,under
293,eh,eh
294,suoi,his
295,vado,I go
296,sara,will be
297,dato,given
298,stiamo,we are
299,bella,Pretty
300,scusa,Excuse me
301,erano,they were
302,pensavo,I thought
303,avrei,I would have
304,prendere,take
305,buona,Good
306,porta,brings
307,bello,Handsome
308,moglie,wife
309,vorrei,I would like
310,storia,history
311,succede,happens
312,morto,died
313,cercando,looking for
314,dici,you say
315,persona,person
316,pronto,ready
317,meno,less
318,dovuto,due
319,avanti,after you
320,capisco,I understand
321,secondo,second
322,venire,come
323,polizia,police
324,lì,there
325,avrebbe,it would have
326,stanno,they are
327,mentre,While
328,letto,Bed
329,fino,until
330,dico,I say
331,amici,friends
332,fine,end
333,aiuto,help
334,paura,fear
335,fratello,Brother
336,stavo,I was
337,uomini,men
338,nell',in the'
339,domani,Tomorrow
340,facciamo,we do
341,abbastanza,Enough
342,capo,boss
343,amore,Love
344,nei,in the
345,ucciso,killed
346,state,state
347,piano,floor
348,macchina,machine
349,trovare,find
350,comunque,Anyway
351,vediamo,We see
352,giorni,days
353,nemmeno,neither
354,mano,hand
355,dall',from
356,presto,Soon
357,stati,States
358,merda,shit
359,far,do
360,bambino,child
361,andato,left
362,vedo,I see
363,tornare,return
364,quelle,those
365,cio,that is
366,primo,first
367,vostro,your
368,neanche,not even
369,sera,evening
370,giro,tour
371,morte,death
372,e',And'
373,qua,here
374,pensato,thought
375,buon,Good
376,anno,year
377,mie,my
378,diavolo,devil
379,quasi,Almost
380,piacere,Pleasure
381,bel,nice
382,dovrei,I should
383,nessun,no
384,contro,against
385,stessa,same
386,felice,happy
387,colpa,guilt
388,punto,point
389,andata,outward
390,dovrebbe,should
391,vedi,you see
392,quale,Which
393,chiesto,asked
394,invece,Instead
395,perchè,Why
396,migliore,improve
397,nostri,our
398,finito,finished
399,figlia,Daughter
400,dovresti,you should
401,papa,Pope
402,almeno,at least
403,sento,I feel
404,quei,those
405,col,with the
406,ore,hours
407,passato,past
408,magari,Perhaps
409,minuti,minutes
410,terra,Earth
411,vostra,your
412,strada,street
413,sola,lonely
414,credi,believe
415,importante,important
416,sue,his
417,salve,Greetings
418,settimana,week
419,perso,lost
420,uscire,go out
421,parlato,spoke
422,papà,Pope
423,stasera,this evening
424,scusi,Excuse me
425,dollari,dollars
426,occhi,eyes
427,mani,hands
428,ultima,last
429,possibile,possible
430,scuola,school
431,significa,it means
432,sapevo,I knew
433,nelle,in
434,potrei,I could
435,stava,was
436,bambini,children
437,eri,you was
438,importa,it matters
439,indietro,backwards
440,riesco,I am able to
441,sangue,blood
442,chiama,who loves
443,messo,put in order
444,piccolo,small
445,traduzione,translation
446,tardi,late
447,cuore,Heart
448,marito,Husband
449,viene,he comes
450,venuto,coming
451,ieri,Yesterday
452,spero,I hope
453,ricordi,memories
454,quelli,those
455,dovremmo,we should
456,lasciato,left
457,ascolta,Listen
458,difficile,difficult
459,quell',that'
460,auto,car
461,chiamato,called
462,ciò,that is
463,altre,other
464,parlando,speaking
465,pensare,think
466,fantastico,Fantastic
467,fatta,made
468,numero,number
469,veramente,Truly
470,fanno,they do
471,com',as
472,serio,serious
473,possa,can
474,fossi,dive
475,entrare,enter
476,anch',too
477,qualsiasi,any
478,pensa,thinks
479,dicendo,saying
480,acqua,waterfall
481,portato,carried
482,stanza,room
483,problemi,problems
484,forte,strong
485,nessuna,none
486,lascia,leaves
487,amo,I love
488,roba,stuff
489,agente,agent
490,dietro,behind
491,corpo,body
492,pare,it seems
493,sentire,feel
494,foto,photo
495,telefono,telephone
496,voleva,he wanted
497,poco,little
498,prendi,you take
499,piccola,small
500,vicino,Neighbor
501,quest',this
502,sacco,sack
503,stia,stia
504,capire,understand
505,potuto,could
506,cinque,five
507,strano,strange
508,tue,your
509,andando,going
510,donne,women
511,sappiamo,we know
512,bravo,good boy
513,ragazze,girls
514,festa,party
515,senso,sense
516,genere,type 
517,quattro,four
518,dare,give
519,attimo,moment
520,sorella,sister
521,pure,mashed potato
522,probabilmente,probably
523,film,movie
524,parla,speaks
525,ufficio,office
526,verso,towards
527,mesi,months
528,farti,make you
529,unica,unique
530,morire,die
531,signorina,Miss
532,vecchio,old
533,domanda,request
534,ben,well
535,guerra,war
536,dottore,doctor
537,conosco,I know
538,qual,that
539,vivere,live
540,vista,view
541,prova,trial
542,nuova,new
543,ricordo,I remember
544,divertente,fun
545,avessi,had
546,sicura,safe
547,paio,pair
548,conto,I count
549,perdere,LOSE
550,dimmi,Tell me
551,farmi,make me
552,figli,children
553,mezzo,half
554,lavorare,work
555,unico,unique
556,esattamente,Exactly
557,squadra,squad
558,esatto,Exactly
559,possono,can
560,fate,you do
561,faro,lighthouse
562,sapete,you know
563,dottor,Doctor
564,parola,word
565,piedi,feet
566,sopra,above
567,motivo,reason
568,avevi,you had
569,cavolo,cabbage
570,capitano,captain
571,finita,finite
572,volete,you want
573,siano,they are
574,potresti,you could
575,gioco,game
576,perfetto,Perfect
577,be,be
578,mente,mind
579,mangiare,eat
580,resto,rest
581,credere,believe
582,fortuna,fortune
583,tratta,deals with
584,chiamo,call
585,morta,dead
586,là,there
587,entrambi,both
588,avresti,you would have
589,passare,pass
590,cena,dinner
591,the,tea
592,sarei,I would be
593,controllo,check
594,affari,business
595,spiace,unpleasant
596,ultimo,last
597,facile,easy
598,farò,lighthouse
599,buongiorno,Good morning
600,davanti,in front of
601,tizio,guy
602,dammi,give me
603,sicurezza,safety
604,dalle,give her
605,quanti,how many
606,dica,say
607,matrimonio,marriage
608,john,John
609,vogliono,they want
610,molti,many
611,culo,ass
612,fuoco,fire
613,cercare,look for
614,pistola,pistol
615,potremmo,we could
616,re,king
617,mandato,mandate
618,puttana,whore
619,negli,in
620,cioe,Meaning what
621,inizio,start
622,saranno,they will be
623,causa,cause
624,voglia,wants
625,mettere,put
626,fammi,do for me
627,uccidere,kill
628,vogliamo,we want
629,faremo,we will do
630,però,However
631,genitori,parents
632,sesso,sex
633,potete,you can
634,ricevuto,received
635,vivo,I live
636,presidente,president
637,città,city
638,citta,city
639,succedendo,succeeding
640,ospedale,hospital
641,fu,was
642,agli,to
643,scritto,written
644,smettila,stop that
645,vada,go
646,attenzione,Attention
647,sulle,on
648,bere,drinking
649,situazione,situation
650,omicidio,homocide
651,revisione,revision
652,avesse,had
653,ottimo,Optimal
654,cura,treatment
655,durante,during
656,provato,tried
657,parole,words
658,lasciare,leave
659,dicono,they say
660,new,new
661,prossima,next
662,nostre,our
663,arrivato,arrived
664,paese,village
665,sull',on
666,andate,go
667,chiunque,whoever
668,capisci,you understand
669,pace,peace
670,immagino,I imagine
671,musica,music
672,tieni,keep
673,oddio,hate
674,jack,jack
675,libro,book
676,eravamo,we were
677,amica,friend
678,diventare,become
679,sui,on
680,sbagliato,wrong
681,dirmi,tell me
682,wow,wow
683,farai,you will do
684,entra,enter
685,venuta,coming
686,scelta,choice
687,voluto,wanted
688,portare,bring
689,assolutamente,absolutely
690,molte,many
691,chiedo,I ask
692,torna,back
693,scoperto,discovery
694,fatti,facts
695,settimane,weeks
696,dirlo,make him
697,alcuni,some
698,prigione,prison
699,giornata,day
700,piuttosto,rather
701,buono,Good
702,aspettare,wait
703,parli,you speak
704,arrivare,arrive
705,lungo,long
706,vede,see
707,avvocato,lawyer
708,deciso,decided
709,sarai,you will be
710,messaggio,message
711,dormire,sleep
712,dieci,ten
713,stupido,stupid
714,usare,use
715,dello,of the
716,cielo,sky
717,guardare,watch
718,bagno,bath
719,aria,air
720,voce,voice
721,tornato,got back
722,vuol,vuol
723,giù,below
724,conosci,you know
725,benissimo,Very well
726,prendo,I take
727,verita,truth
728,cane,dog
729,restare,remain
730,chiamare,call
731,poter,being able
732,campo,field
733,luce,light
734,sam,Sam
735,qualunque,anyone
736,giovane,young
737,fra,between
738,provare,try
739,minuto,minute
740,saperlo,know it
741,lontano,distant
742,gruppo,group
743,continua,continues
744,arrivo,I arrive
745,gran,large
746,realta,reality
747,cerca,near
748,passo,step
749,domande,requests
750,insomma,In short
751,bambina,girl
752,pensando,think
753,capelli,hair
754,trova,finds
755,onore,honor
756,aiutare,help
757,verità,truth
758,prove,evidence
759,n',n '
760,funziona,works
761,alto,high
762,giu,below
763,credevo,I believed
764,futuro,future
765,preoccuparti,worry
766,idiota,idiot
767,cibo,food
768,fretta,rush
769,cara,Dear
770,finalmente,finally
771,morti,dead
772,odio,hate
773,solito,usual
774,brava,Good
775,é,And
776,incidente,accident
777,allo,at the
778,dev',it must
779,intenzione,intention
780,speciale,special
781,cambiare,change
782,vera,real
783,camera,room
784,oltre,beyond
785,semplice,simple
786,dirti,tell you
787,riguardo,regard
788,finche,until
789,aspetto,I wait
790,viaggio,voyage
791,chiaro,clear
792,chiamata,call
793,bocca,mouth
794,permesso,permit
795,piacerebbe,would like
796,dovete,you have to
797,giocare,play
798,ordine,order
799,circa,about
800,ovviamente,Obviously
801,finire,finish
802,piu',more'
803,natale,Christmas
804,i',the'
805,direi,I'd say
806,vostri,your
807,occhio,eye
808,pronta,ready
809,scusami,Excuse me
810,mattina,morning
811,cercato,looked for
812,crede,you think
813,sistema,system
814,york,York
815,fondo,bottom
816,resta,remain
817,devono,they have to
818,prossimo,next
819,pronti,ready
820,saputo,known
821,scusate,Excuse me
822,potere,candies
823,milioni,millions
824,soltanto,only
825,armi,weapons
826,arriva,he arrives
827,fermo,stopped
828,mese,month
829,chiedere,ask
830,cristo,Christ
831,torno,back
832,venite,come
833,controllare,check
834,appuntamento,appointment
835,s,sort
836,chiami,who do you Love
837,vecchia,old
838,detective,detective
839,pero,However
840,metti,you put
841,grado,grade
842,vanno,they go
843,nave,ship
844,iniziato,started
845,perche',Why'
846,informazioni,information
847,libero,free
848,stronzo,asshole
849,grandi,big
850,pezzo,piece
851,segreto,secret
852,colpo,hit
853,faceva,he did
854,piacciono,like
855,porto,port
856,oppure,or
857,completamente,completely
858,vederti,see you
859,lista,list
860,venga,come
861,veloce,fast
862,assassino,killer
863,sapeva,He knew
864,finché,until
865,tom,Tom
866,ormai,at this point
867,interessa,interest
868,generale,general
869,giusta,right
870,tenere,hold
871,pazzo,crazy
872,vittima,victim
873,giuro,I swear
874,consiglio,advise
875,michael,Michael
876,alcune,someone
877,semplicemente,simply
878,zio,Uncle
879,centro,center
880,specie,species
881,mille,one thousand
882,sogno,dream
883,lasci,leave
884,carino,cute
885,doveva,where you go
886,brutto,ugly
887,nello,in
888,aspetti,aspect
889,incredibile,incredible
890,sole,Sun
891,glielo,it
892,legge,law
893,spesso,Often
894,guardate,watch
895,cambiato,changed
896,scena,scene
897,volevi,you wanted
898,charlie,Charlie
899,lasciami,leave me
900,gentile,Kind
901,rispetto,respect
902,ve,ve
903,fara,will make
904,zitto,Shut up
905,incontro,encounter
906,farà,will make
907,servono,need
908,rapporto,relationship
909,errore,mistake
910,mike,Mike
911,sanno,they know
912,pagare,pay
913,sorpresa,surprise
914,occhiata,look
915,risposta,answer
916,presa,Jack
917,servizio,service
918,medico,doctor
919,usato,used
920,hey,Hey
921,caro,Dear
922,schifo,disgust
923,avrai,you will have
924,dolore,ache
925,saresti,would you be
926,personale,personnel
927,quali,which
928,saro,I will be
929,peggio,worse
930,addio,Goodbye
931,addosso,on
932,dovevo,I had to
933,poteva,he could
934,pieno,full
935,diverso,different
936,vestiti,clothes
937,sparato,shot
938,realtà,reality
939,do,do
940,sarò,I will be
941,normale,normal
942,fame,hunger
943,programma,plan
944,nonna,Grandmother
945,sappia,know
946,sembrava,It seemed
947,migliori,better
948,notizie,news
949,avevamo,we had
950,riesci,are able
951,posizione,position
952,vengo,I come
953,rimanere,stay
954,compagnia,company
955,proposito,purpose
956,farci,make us
957,joe,Joe
958,ricorda,remember
959,frank,Frank
960,prende,takes
961,tante,many
962,avevano,they had
963,arrivando,arriving
964,chiuso,closed
965,terribile,terrible
966,ritardo,delay
967,attento,careful
968,bar,Cafe
969,sembri,you look
970,fallo,just do it
971,dimenticato,forgotten
972,bisogna,must
973,impossibile,impossible
974,cioè,Meaning what
975,studio,study
976,stessi,same
977,arma,weapon
978,conosce,know
979,uscita,exit
980,ii,II
981,fin,fin
982,disse,She said
983,david,David
984,vattene,get out
985,quante,how much it is
986,guai,trouble
987,intorno,environment
988,video,video
989,manca,lacks
990,esserci,there
991,grosso,big
992,tanti,many
993,dolce,Sweet
994,chiave,key
995,cervello,brain
996,coraggio,courage
997,interessante,Interesting
